185 / 10000: [ 0, 1, 0, 1, 0 ], [ 0, 103, 14, 1 ]
186 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 103, 14, 1 ]
187 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 104, 14, 1 ]
188 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 104, 15, 1 ]
189 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 105, 15, 1 ]
190 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 106, 15, 1 ]
191 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 107, 15, 1 ]
192 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 108, 15, 1 ]
193 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 109, 15, 1 ]
194 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 110, 15, 1 ]
195 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 111, 15, 1 ]
196 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 111, 15, 1 ]
197 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 111, 15, 1 ]
198 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 112, 15, 1 ]
199 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 113, 15, 1 ]
200 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 114, 15, 1 ]
201 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 114, 15, 1 ]
202 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 115, 15, 1 ]
203 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 116, 15, 1 ]
204 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 117, 15, 1 ]
205 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 117, 15, 1 ]
206 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 118, 15, 1 ]
207 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 119, 15, 1 ]
208 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 120, 15, 1 ]
209 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 121, 15, 1 ]
210 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 122, 15, 1 ]
211 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 123, 15, 1 ]
212 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 124, 15, 1 ]
213 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 125, 15, 1 ]
214 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 126, 15, 1 ]
215 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 127, 15, 1 ]
216 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 128, 15, 1 ]
217 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 129, 15, 1 ]
218 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 129, 15, 1 ]
219 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 130, 15, 1 ]
220 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 131, 15, 1 ]
221 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 132, 15, 1 ]
222 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 133, 15, 1 ]
223 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 134, 15, 1 ]
224 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 134, 15, 1 ]
225 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 134, 16, 1 ]
226 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 135, 16, 1 ]
227 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 135, 16, 1 ]
228 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 136, 16, 1 ]
229 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 137, 16, 1 ]
230 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 138, 16, 1 ]
231 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 139, 16, 1 ]
232 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 139, 16, 1 ]
233 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 139, 16, 1 ]
234 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 139, 16, 1 ]
235 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 140, 16, 1 ]
236 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 141, 16, 1 ]
237 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 141, 16, 1 ]
238 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 141, 16, 1 ]
239 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 141, 16, 1 ]
240 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 142, 16, 1 ]
241 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 143, 16, 1 ]
242 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 143, 16, 1 ]
243 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 144, 16, 1 ]
244 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 145, 16, 1 ]
245 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 145, 17, 1 ]
246 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 146, 17, 1 ]
247 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 147, 17, 1 ]
